gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
8057-6,1592845044296,1,clickedObj,,bag_paper_blue,filler,distractor,4,2,bowl_glass_clear_original,filler,competitor,2,3,bag_paper_blue,filler,distractor,1,4,ball_metal_green,filler_none,target,3,1
8057-6,1592845047388,2,clickedObj,,vase_wood_blue,filler_material,target,2,2,box_wood_brown_original,filler,competitor,4,4,bag_paper_green,filler,distractor,3,1,bag_paper_green,filler,distractor,1,3
8057-6,1592845049805,3,clickedObj,,vase_glass_blue,filler,competitor,3,2,bag_paper_brown_original,filler,distractor,1,3,bowl_glass_blue,filler_both,target,2,1,bag_paper_brown_original,filler,distractor,4,4
8057-6,1592845052202,4,clickedObj,,plate_plastic_green,difficulty_distractor,distractor,4,2,plate_plastic_blue_original,difficulty_distractor,distractor,2,4,plate_plastic_green,difficulty_distractor,distractor,3,3,plate_paper_blue,low_difficulty,target,1,1
8057-6,1592845054547,5,clickedObj,,bag_paper_brown_original,filler,competitor,1,2,vase_glass_clear_original,filler,distractor,3,1,door_steel_red,filler_none,target,2,3,vase_glass_clear_original,filler,distractor,4,4
8057-6,1592845056648,6,clickedObj,,ball_metal_red,filler,distractor,3,2,ball_metal_red,filler,distractor,2,1,box_cardboard_green,filler_none,target,1,3,door_steel_yellow,filler,competitor,4,4
8057-6,1592845059024,7,clickedObj,,box_cardboard_brown_original,filler,competitor,1,2,bowl_glass_clear_original,filler,distractor,3,4,door_wood_brown_original,filler_color,target,4,1,bowl_glass_clear_original,filler,distractor,2,3
8057-6,1592845061304,8,clickedObj,,cup_metal_blue,difficulty_distractor,distractor,1,2,cup_metal_green,difficulty_distractor,distractor,2,3,cup_plastic_green,low_difficulty,target,4,1,cup_metal_blue,difficulty_distractor,distractor,3,4
8057-6,1592845063551,9,clickedObj,,plate_plastic_green,difficulty_distractor,distractor,1,2,plate_paper_blue,high_difficulty,target,4,4,plate_plastic_green,difficulty_distractor,distractor,3,3,plate_paper_green,difficulty_distractor,distractor,2,1
8057-6,1592845065750,10,clickedObj,,bottle_glass_clear_original,difficulty_distractor,distractor,3,2,bottle_glass_green,difficulty_distractor,distractor,2,4,bottle_glass_clear_original,difficulty_distractor,distractor,4,3,bottle_plastic_green,low_difficulty,target,1,1
8057-6,1592845067974,11,clickedObj,,chair_wood_purple,difficulty_distractor,distractor,3,2,chair_metal_green,high_difficulty,target,1,4,chair_wood_purple,difficulty_distractor,distractor,4,3,chair_metal_purple,difficulty_distractor,distractor,2,1
8057-6,1592845070067,12,clickedObj,,ruler_metal_blue,filler,competitor,3,3,bag_plastic_blue,filler_color,target,2,1,vase_glass_clear_original,filler,distractor,1,4,vase_glass_clear_original,filler,distractor,4,2
8057-6,1592845072251,13,clickedObj,,plate_paper_blue,difficulty_distractor,distractor,1,2,plate_paper_green,difficulty_distractor,distractor,4,4,plate_paper_green,difficulty_distractor,distractor,3,3,plate_plastic_blue_original,low_difficulty,target,2,1
8057-6,1592845074691,14,clickedObj,,bag_plastic_white_original,filler,distractor,3,2,vase_wood_green,filler,competitor,1,3,bag_plastic_white_original,filler,distractor,4,4,ruler_wood_blue,filler_material,target,2,1
8057-6,1592845076954,15,clickedObj,,table_metal_green,high_difficulty,target,1,2,table_metal_blue,difficulty_distractor,distractor,3,4,table_wood_blue,difficulty_distractor,distractor,4,3,table_wood_blue,difficulty_distractor,distractor,2,1
8057-6,1592845079256,16,clickedObj,,bottle_plastic_blue,difficulty_distractor,distractor,4,2,bottle_glass_green,low_difficulty,target,1,3,bottle_plastic_green,difficulty_distractor,distractor,3,4,bottle_plastic_blue,difficulty_distractor,distractor,2,1
