gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
9537-1,1592865972514,1,clickedObj,,bag_plastic_blue,filler_color,target,2,1,bowl_metal_silver_original,filler,distractor,4,3,bowl_metal_silver_original,filler,distractor,3,2,box_cardboard_blue,filler,competitor,1,4
9537-1,1592865987905,2,clickedObj,,bottle_glass_green,low_difficulty,target,1,2,bottle_plastic_green,difficulty_distractor,distractor,3,1,bottle_plastic_clear_original,difficulty_distractor,distractor,2,4,bottle_plastic_clear_original,difficulty_distractor,distractor,4,3
9537-1,1592866007214,3,clickedObj,,bowl_glass_blue,filler_both,target,4,3,bag_paper_green,filler,distractor,2,2,vase_glass_blue,filler,competitor,3,1,bag_paper_green,filler,distractor,1,4
9537-1,1592866016493,4,clickedObj,,chair_metal_purple,high_difficulty,target,1,4,chair_plastic_green,difficulty_distractor,distractor,4,3,chair_metal_green,difficulty_distractor,distractor,2,2,chair_plastic_green,difficulty_distractor,distractor,3,1
9537-1,1592866040334,5,clickedObj,,plate_plastic_blue_original,low_difficulty,target,1,3,plate_paper_white_original,difficulty_distractor,distractor,2,2,plate_paper_blue,difficulty_distractor,distractor,3,1,plate_paper_white_original,difficulty_distractor,distractor,4,4
9537-1,1592866046243,6,clickedObj,,plate_paper_blue,high_difficulty,target,2,2,plate_paper_green,difficulty_distractor,distractor,3,4,plate_plastic_green,difficulty_distractor,distractor,1,3,plate_plastic_green,difficulty_distractor,distractor,4,1
9537-1,1592866056267,7,clickedObj,,pitcher_metal_blue,low_difficulty,target,4,2,pitcher_glass_blue,difficulty_distractor,distractor,1,1,pitcher_glass_green,difficulty_distractor,distractor,2,3,pitcher_glass_green,difficulty_distractor,distractor,3,4
9537-1,1592866069597,8,clickedObj,,ruler_metal_green,filler_both,target,1,1,box_cardboard_brown_original,filler,distractor,3,4,box_cardboard_brown_original,filler,distractor,2,2,bowl_metal_green,filler,competitor,4,3
9537-1,1592866075006,9,clickedObj,,boot_leather_green,high_difficulty,target,1,3,boot_leather_brown,difficulty_distractor,distractor,2,1,boot_rubber_brown,difficulty_distractor,distractor,4,2,boot_rubber_brown,difficulty_distractor,distractor,3,4
9537-1,1592866080176,10,clickedObj,,spoon_wood_green,high_difficulty,target,3,4,spoon_plastic_blue,difficulty_distractor,distractor,2,1,spoon_wood_blue,difficulty_distractor,distractor,4,3,spoon_plastic_blue,difficulty_distractor,distractor,1,2
9537-1,1592866096408,11,clickedObj,,plate_paper_blue,low_difficulty,target,3,4,plate_plastic_pink,difficulty_distractor,distractor,4,2,plate_plastic_pink,difficulty_distractor,distractor,1,3,plate_plastic_blue_original,difficulty_distractor,distractor,2,1
9537-1,1592866108284,12,clickedObj,,ruler_wood_blue,filler_material,target,1,4,box_wood_brown_original,filler,competitor,4,3,vase_glass_green,filler,distractor,2,2,vase_glass_green,filler,distractor,3,1
9537-1,1592866114398,13,clickedObj,,ball_metal_green,filler_none,target,4,1,box_cardboard_blue,filler,distractor,3,3,ruler_wood_brown_original,filler,competitor,2,2,box_cardboard_blue,filler,distractor,1,4
9537-1,1592866119823,14,clickedObj,,table_metal_blue,high_difficulty,target,3,1,table_wood_green,difficulty_distractor,distractor,1,4,table_metal_green,difficulty_distractor,distractor,4,2,table_wood_green,difficulty_distractor,distractor,2,3
9537-1,1592866128543,15,clickedObj,,door_wood_brown_original,filler_color,target,2,3,ruler_metal_blue,filler,distractor,4,2,box_cardboard_brown_original,filler,competitor,1,4,ruler_metal_blue,filler,distractor,3,1
9537-1,1592866138905,16,clickedObj,,cup_plastic_green,low_difficulty,target,4,4,cup_metal_green,difficulty_distractor,distractor,3,2,cup_metal_silver_original,difficulty_distractor,distractor,1,3,cup_metal_silver_original,difficulty_distractor,distractor,2,1
9537-1,1592866144367,17,clickedObj,,bowl_glass_green,filler_material,target,1,1,ruler_wood_brown_original,filler,distractor,3,3,ruler_wood_brown_original,filler,distractor,2,2,vase_glass_blue,filler,competitor,4,4
9537-1,1592866152609,18,clickedObj,,table_metal_blue,low_difficulty,target,4,4,table_wood_blue,difficulty_distractor,distractor,2,2,table_wood_brown_original,difficulty_distractor,distractor,3,1,table_wood_brown_original,difficulty_distractor,distractor,1,3
9537-1,1592866176318,19,clickedObj,,ball_metal_silver_original,filler_both,target,3,3,vase_glass_clear_original,filler,distractor,4,1,bowl_metal_silver_original,filler,competitor,2,4,vase_glass_clear_original,filler,distractor,1,2
9537-1,1592866181613,20,clickedObj,,ball_plastic_blue_original,filler_none,target,2,1,bowl_metal_silver_original,filler,distractor,1,4,box_wood_green,filler,competitor,3,3,bowl_metal_silver_original,filler,distractor,4,2
9537-1,1592866186966,21,clickedObj,,vase_wood_brown_original,filler_material,target,1,1,ruler_wood_green,filler,competitor,2,3,door_steel_silver_original,filler,distractor,3,4,door_steel_silver_original,filler,distractor,4,2
9537-1,1592866192159,22,clickedObj,,table_metal_green,high_difficulty,target,2,3,table_wood_blue,difficulty_distractor,distractor,3,4,table_metal_blue,difficulty_distractor,distractor,4,1,table_wood_blue,difficulty_distractor,distractor,1,2
