gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
6915-5,1592922203568,1,clickedObj,,bottle_glass_green,low_difficulty,target,4,1,bottle_plastic_green,difficulty_distractor,distractor,2,2,bottle_plastic_clear_original,difficulty_distractor,distractor,1,3,bottle_plastic_clear_original,difficulty_distractor,distractor,3,4
6915-5,1592922248254,2,clickedObj,,chair_metal_green,high_difficulty,target,1,2,chair_plastic_purple,difficulty_distractor,distractor,2,1,chair_metal_purple,difficulty_distractor,distractor,3,4,chair_plastic_purple,difficulty_distractor,distractor,4,3
6915-5,1592922259018,3,clickedObj,,plate_plastic_blue_original,low_difficulty,target,3,4,plate_paper_green,difficulty_distractor,distractor,1,3,plate_paper_blue,difficulty_distractor,distractor,4,1,plate_paper_green,difficulty_distractor,distractor,2,2
6915-5,1592922276650,4,clickedObj,,ruler_metal_green,filler_both,target,1,1,door_steel_silver_original,filler,distractor,2,2,bowl_metal_green,filler,competitor,4,4,door_steel_silver_original,filler,distractor,3,3
6915-5,1592922283888,5,clickedObj,,ball_plastic_blue_original,filler_none,target,3,4,bowl_metal_green,filler,distractor,1,1,bowl_metal_green,filler,distractor,4,2,door_wood_yellow,filler,competitor,2,3
6915-5,1592922291888,6,clickedObj,,ruler_wood_blue,filler_material,target,4,2,ball_plastic_green,filler,distractor,1,1,ball_plastic_green,filler,distractor,2,3,box_wood_brown_original,filler,competitor,3,4
6915-5,1592922297709,7,clickedObj,,table_metal_blue,high_difficulty,target,3,4,table_metal_green,difficulty_distractor,distractor,1,3,table_wood_green,difficulty_distractor,distractor,2,2,table_wood_green,difficulty_distractor,distractor,4,1
6915-5,1592922304248,8,clickedObj,,ball_metal_silver_original,filler_both,target,1,3,box_wood_green,filler,distractor,2,2,box_wood_green,filler,distractor,3,4,ruler_metal_silver_original,filler,competitor,4,1
6915-5,1592922309118,9,clickedObj,,plate_paper_blue,high_difficulty,target,2,1,plate_plastic_green,difficulty_distractor,distractor,3,4,plate_plastic_green,difficulty_distractor,distractor,1,3,plate_paper_green,difficulty_distractor,distractor,4,2
6915-5,1592922315309,10,clickedObj,,box_cardboard_green,filler_none,target,3,3,vase_glass_blue,filler,distractor,1,1,vase_glass_blue,filler,distractor,2,4,door_wood_yellow,filler,competitor,4,2
6915-5,1592922324488,11,clickedObj,,boot_leather_green,high_difficulty,target,4,2,boot_rubber_black_original,difficulty_distractor,distractor,2,1,boot_rubber_black_original,difficulty_distractor,distractor,3,4,boot_leather_black_original,difficulty_distractor,distractor,1,3
6915-5,1592922334669,12,clickedObj,,jacket_denim_purple,low_difficulty,target,4,3,jacket_leather_black_original,difficulty_distractor,distractor,1,1,jacket_leather_purple,difficulty_distractor,distractor,3,4,jacket_leather_black_original,difficulty_distractor,distractor,2,2
6915-5,1592922341508,13,clickedObj,,bowl_glass_green,filler_material,target,4,4,door_steel_silver_original,filler,distractor,2,3,vase_glass_blue,filler,competitor,3,1,door_steel_silver_original,filler,distractor,1,2
6915-5,1592922357279,14,clickedObj,,spoon_wood_green,high_difficulty,target,3,3,spoon_wood_blue,difficulty_distractor,distractor,1,1,spoon_metal_blue,difficulty_distractor,distractor,2,2,spoon_metal_blue,difficulty_distractor,distractor,4,4
6915-5,1592922363528,15,clickedObj,,table_metal_green,high_difficulty,target,4,4,table_metal_blue,difficulty_distractor,distractor,3,1,table_wood_blue,difficulty_distractor,distractor,1,3,table_wood_blue,difficulty_distractor,distractor,2,2
6915-5,1592922372079,16,clickedObj,,pitcher_metal_blue,low_difficulty,target,2,4,pitcher_plastic_green,difficulty_distractor,distractor,4,2,pitcher_plastic_green,difficulty_distractor,distractor,3,1,pitcher_plastic_blue,difficulty_distractor,distractor,1,3
