gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
7732-1,1592939496342,1,clickedObj,,bottle_plastic_green,difficulty_distractor,distractor,2,1,bottle_plastic_clear_original,difficulty_distractor,distractor,3,3,bottle_glass_green,low_difficulty,target,4,2,bottle_plastic_clear_original,difficulty_distractor,distractor,1,4
7732-1,1592939505750,2,clickedObj,,pitcher_metal_blue,low_difficulty,target,2,1,pitcher_glass_green,difficulty_distractor,distractor,4,4,pitcher_glass_green,difficulty_distractor,distractor,1,3,pitcher_glass_blue,difficulty_distractor,distractor,3,2
7732-1,1592939512683,3,clickedObj,,plate_plastic_blue_original,low_difficulty,target,3,2,plate_paper_green,difficulty_distractor,distractor,4,1,plate_paper_green,difficulty_distractor,distractor,1,3,plate_paper_blue,difficulty_distractor,distractor,2,4
7732-1,1592939518463,4,clickedObj,,boot_leather_green,high_difficulty,target,4,4,boot_leather_brown,difficulty_distractor,distractor,2,2,boot_rubber_brown,difficulty_distractor,distractor,3,3,boot_rubber_brown,difficulty_distractor,distractor,1,1
7732-1,1592939523146,5,clickedObj,,table_metal_green,high_difficulty,target,2,2,table_wood_blue,difficulty_distractor,distractor,3,4,table_metal_blue,difficulty_distractor,distractor,4,3,table_wood_blue,difficulty_distractor,distractor,1,1
7732-1,1592939530225,6,clickedObj,,spoon_wood_green,high_difficulty,target,3,2,spoon_wood_blue,difficulty_distractor,distractor,4,1,spoon_metal_blue,difficulty_distractor,distractor,1,4,spoon_metal_blue,difficulty_distractor,distractor,2,3
7732-1,1592939535383,7,clickedObj,,vase_wood_brown_original,filler_material,target,1,3,box_cardboard_blue,filler,distractor,3,4,ruler_wood_green,filler,competitor,4,2,box_cardboard_blue,filler,distractor,2,1
7732-1,1592939541458,8,clickedObj,,ruler_wood_blue,filler_material,target,2,1,vase_glass_clear_original,filler,distractor,1,2,vase_glass_clear_original,filler,distractor,3,4,box_wood_green,filler,competitor,4,3
7732-1,1592939554591,9,clickedObj,,bottle_plastic_green,low_difficulty,target,4,3,bottle_glass_clear_original,difficulty_distractor,distractor,3,2,bottle_glass_green,difficulty_distractor,distractor,2,1,bottle_glass_clear_original,difficulty_distractor,distractor,1,4
7732-1,1592939562120,10,clickedObj,,plate_paper_blue,low_difficulty,target,1,1,plate_plastic_green,difficulty_distractor,distractor,2,2,plate_plastic_green,difficulty_distractor,distractor,3,3,plate_plastic_blue_original,difficulty_distractor,distractor,4,4
