gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
7078-d,1592941557754,1,clickedObj,,ball_plastic_blue_original,filler_none,target,4,2,door_wood_yellow,filler,distractor,3,4,door_wood_yellow,filler,distractor,2,1,bag_paper_green,filler,competitor,1,3
7078-d,1592941571614,2,clickedObj,,chair_metal_green,high_difficulty,target,1,3,chair_wood_purple,difficulty_distractor,distractor,3,2,chair_metal_purple,difficulty_distractor,distractor,4,4,chair_wood_purple,difficulty_distractor,distractor,2,1
7078-d,1592941591968,3,clickedObj,,box_cardboard_green,filler_none,target,3,1,vase_glass_blue,filler,competitor,2,2,bowl_metal_silver_original,filler,distractor,1,4,bowl_metal_silver_original,filler,distractor,4,3
7078-d,1592941610236,4,clickedObj,,vase_wood_brown_original,filler_material,target,3,2,ball_plastic_green,filler,distractor,2,1,door_wood_yellow,filler,competitor,1,4,ball_plastic_green,filler,distractor,4,3
7078-d,1592941621307,5,clickedObj,,bowl_metal_blue,filler_both,target,1,1,ruler_metal_blue,filler,competitor,4,3,vase_wood_green,filler,distractor,3,2,vase_wood_green,filler,distractor,2,4
7078-d,1592941638364,6,clickedObj,,plate_plastic_blue_original,low_difficulty,target,2,3,plate_paper_white_original,difficulty_distractor,distractor,1,4,plate_paper_white_original,difficulty_distractor,distractor,4,1,plate_paper_blue,difficulty_distractor,distractor,3,2
7078-d,1592941646796,7,clickedObj,,ruler_wood_blue,filler_material,target,4,1,bag_plastic_white_original,filler,distractor,1,4,bag_plastic_white_original,filler,distractor,2,2,box_wood_green,filler,competitor,3,3
7078-d,1592941691034,8,clickedObj,,bottle_plastic_green,low_difficulty,target,2,3,bottle_glass_blue,difficulty_distractor,distractor,1,4,bottle_glass_blue,difficulty_distractor,distractor,4,1,bottle_glass_green,difficulty_distractor,distractor,3,2
7078-d,1592941746607,9,clickedObj,,pitcher_metal_blue,low_difficulty,target,1,4,pitcher_glass_blue,difficulty_distractor,distractor,4,3,pitcher_glass_green,difficulty_distractor,distractor,2,2,pitcher_glass_green,difficulty_distractor,distractor,3,1
7078-d,1592941762429,10,clickedObj,,cup_plastic_green,low_difficulty,target,3,2,cup_metal_silver_original,difficulty_distractor,distractor,2,4,cup_metal_green,difficulty_distractor,distractor,4,1,cup_metal_silver_original,difficulty_distractor,distractor,1,3
7078-d,1592941780556,11,clickedObj,,jacket_leather_purple,difficulty_distractor,distractor,3,1,jacket_leather_black_original,difficulty_distractor,distractor,1,4,jacket_denim_purple,low_difficulty,target,2,3,jacket_leather_black_original,difficulty_distractor,distractor,4,2
7078-d,1592941793655,12,clickedObj,,door_steel_red,filler_none,target,2,2,vase_glass_clear_original,filler,competitor,3,3,ruler_wood_brown_original,filler,distractor,4,4,ruler_wood_brown_original,filler,distractor,1,1
7078-d,1592941805406,13,clickedObj,,plate_paper_blue,low_difficulty,target,1,3,plate_plastic_green,difficulty_distractor,distractor,4,1,plate_plastic_green,difficulty_distractor,distractor,3,2,plate_plastic_blue_original,difficulty_distractor,distractor,2,4
7078-d,1592941812334,14,clickedObj,,ball_metal_green,filler_none,target,3,3,box_cardboard_blue,filler,competitor,2,1,bowl_glass_clear_original,filler,distractor,1,2,bowl_glass_clear_original,filler,distractor,4,4
7078-d,1592941825807,15,clickedObj,,table_metal_blue,low_difficulty,target,1,3,table_wood_blue,difficulty_distractor,distractor,2,1,table_wood_brown_original,difficulty_distractor,distractor,4,2,table_wood_brown_original,difficulty_distractor,distractor,3,4
7078-d,1592941837467,16,clickedObj,,boot_leather_green,high_difficulty,target,4,1,boot_rubber_brown,difficulty_distractor,distractor,1,4,boot_rubber_brown,difficulty_distractor,distractor,3,3,boot_leather_brown,difficulty_distractor,distractor,2,2
7078-d,1592941846429,17,clickedObj,,bag_plastic_blue,filler_color,target,3,1,vase_glass_blue,filler,competitor,2,3,door_steel_yellow,filler,distractor,4,2,door_steel_yellow,filler,distractor,1,4
7078-d,1592941853894,18,clickedObj,,table_metal_green,high_difficulty,target,2,1,table_wood_blue,difficulty_distractor,distractor,3,4,table_wood_blue,difficulty_distractor,distractor,1,2,table_metal_blue,difficulty_distractor,distractor,4,3
7078-d,1592941864627,19,clickedObj,,bowl_glass_green,filler_material,target,4,2,door_steel_yellow,filler,distractor,2,4,door_steel_yellow,filler,distractor,1,3,vase_glass_clear_original,filler,competitor,3,1
7078-d,1592941871547,20,clickedObj,,plate_paper_blue,high_difficulty,target,1,1,plate_paper_green,difficulty_distractor,distractor,2,4,plate_plastic_green,difficulty_distractor,distractor,3,2,plate_plastic_green,difficulty_distractor,distractor,4,3
7078-d,1592941878354,21,clickedObj,,chair_metal_purple,high_difficulty,target,4,3,chair_metal_green,difficulty_distractor,distractor,1,4,chair_plastic_green,difficulty_distractor,distractor,3,2,chair_plastic_green,difficulty_distractor,distractor,2,1
