gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
0896-6,1592935701989,1,clickedObj,,bottle_glass_green,low_difficulty,target,3,1,bottle_plastic_blue,difficulty_distractor,distractor,1,4,bottle_plastic_blue,difficulty_distractor,distractor,2,2,bottle_plastic_green,difficulty_distractor,distractor,4,3
0896-6,1592935742918,2,clickedObj,,cup_plastic_green,low_difficulty,target,4,3,cup_metal_green,difficulty_distractor,distractor,3,4,cup_metal_silver_original,difficulty_distractor,distractor,2,2,cup_metal_silver_original,difficulty_distractor,distractor,1,1
0896-6,1592935794749,3,clickedObj,,bottle_plastic_green,low_difficulty,target,4,4,bottle_glass_clear_original,difficulty_distractor,distractor,2,2,bottle_glass_green,difficulty_distractor,distractor,3,3,bottle_glass_clear_original,difficulty_distractor,distractor,1,1
0896-6,1592935819199,4,clickedObj,,bowl_glass_green,filler_material,target,1,4,vase_glass_clear_original,filler,competitor,2,2,bag_paper_blue,filler,distractor,3,3,bag_paper_blue,filler,distractor,4,1
0896-6,1592935842649,5,clickedObj,,spoon_wood_green,high_difficulty,target,2,2,spoon_wood_blue,difficulty_distractor,distractor,4,1,spoon_metal_blue,difficulty_distractor,distractor,3,3,spoon_metal_blue,difficulty_distractor,distractor,1,4
0896-6,1592935859011,6,clickedObj,,table_metal_silver_original,high_difficulty,target,4,2,table_wood_green,difficulty_distractor,distractor,1,1,table_wood_green,difficulty_distractor,distractor,2,4,table_metal_green,difficulty_distractor,distractor,3,3
0896-6,1592935882809,7,clickedObj,,plate_plastic_blue_original,low_difficulty,target,1,4,plate_paper_blue,difficulty_distractor,distractor,3,3,plate_paper_white_original,difficulty_distractor,distractor,2,2,plate_paper_white_original,difficulty_distractor,distractor,4,1
0896-6,1592935893439,8,clickedObj,,table_metal_green,difficulty_distractor,distractor,1,2,table_metal_blue,high_difficulty,target,2,4,table_wood_green,difficulty_distractor,distractor,4,3,table_wood_green,difficulty_distractor,distractor,3,1
0896-6,1592935931059,9,clickedObj,,plate_paper_blue,high_difficulty,target,4,1,plate_paper_green,difficulty_distractor,distractor,3,3,plate_plastic_green,difficulty_distractor,distractor,1,4,plate_plastic_green,difficulty_distractor,distractor,2,2
0896-6,1592935957630,10,clickedObj,,chair_metal_green,high_difficulty,target,4,3,chair_plastic_purple,difficulty_distractor,distractor,1,2,chair_plastic_purple,difficulty_distractor,distractor,3,4,chair_metal_purple,difficulty_distractor,distractor,2,1
0896-6,1592935983661,11,clickedObj,,box_wood_blue,filler_color,target,4,1,bag_paper_green,filler,distractor,1,2,ruler_metal_blue,filler,competitor,3,3,bag_paper_green,filler,distractor,2,4
0896-6,1592936000699,12,clickedObj,,door_wood_brown_original,filler_color,target,2,4,box_cardboard_brown_original,filler,competitor,4,1,bag_paper_green,filler,distractor,1,3,bag_paper_green,filler,distractor,3,2
0896-6,1592936015449,13,clickedObj,,door_steel_red,filler_none,target,1,3,bag_paper_green,filler,distractor,4,2,box_cardboard_brown_original,filler,competitor,2,4,bag_paper_green,filler,distractor,3,1
0896-6,1592936043359,14,clickedObj,,jacket_denim_purple,low_difficulty,target,1,3,jacket_leather_green,difficulty_distractor,distractor,3,1,jacket_leather_purple,difficulty_distractor,distractor,2,2,jacket_leather_green,difficulty_distractor,distractor,4,4
0896-6,1592936055579,15,clickedObj,,table_metal_green,high_difficulty,target,2,4,table_wood_blue,difficulty_distractor,distractor,4,1,table_metal_blue,difficulty_distractor,distractor,3,2,table_wood_blue,difficulty_distractor,distractor,1,3
0896-6,1592936063039,16,clickedObj,,ruler_metal_green,filler_both,target,2,2,bag_paper_brown_original,filler,distractor,3,1,bowl_metal_green,filler,competitor,4,3,bag_paper_brown_original,filler,distractor,1,4
0896-6,1592936076700,17,clickedObj,,table_metal_blue,low_difficulty,target,3,4,table_wood_brown_original,difficulty_distractor,distractor,2,3,table_wood_brown_original,difficulty_distractor,distractor,1,1,table_wood_blue,difficulty_distractor,distractor,4,2
0896-6,1592936088670,18,clickedObj,,bag_plastic_green,filler_color,target,2,4,door_steel_silver_original,filler,distractor,4,2,door_steel_silver_original,filler,distractor,3,3,vase_glass_green,filler,competitor,1,1
0896-6,1592936120640,19,clickedObj,,chair_metal_purple,high_difficulty,target,3,3,chair_wood_green,difficulty_distractor,distractor,4,4,chair_metal_green,difficulty_distractor,distractor,1,1,chair_wood_green,difficulty_distractor,distractor,2,2
0896-6,1592936132999,20,clickedObj,,bag_plastic_blue,filler_color,target,3,4,ball_metal_red,filler,distractor,4,2,vase_glass_blue,filler,competitor,2,3,ball_metal_red,filler,distractor,1,1
0896-6,1592936142490,21,clickedObj,,vase_wood_brown_original,filler_material,target,1,1,box_cardboard_blue,filler,distractor,3,3,door_wood_red,filler,competitor,4,2,box_cardboard_blue,filler,distractor,2,4
0896-6,1592936151910,22,clickedObj,,bowl_metal_blue,filler_both,target,3,4,ruler_metal_blue,filler,competitor,4,2,ball_plastic_red,filler,distractor,2,3,ball_plastic_red,filler,distractor,1,1
0896-6,1592936161279,23,clickedObj,,box_cardboard_green,filler_none,target,2,2,bag_paper_blue,filler,distractor,1,1,bag_paper_blue,filler,distractor,3,3,bowl_glass_clear_original,filler,competitor,4,4
0896-6,1592936174349,24,clickedObj,,ball_metal_green,filler_none,target,1,4,door_wood_red,filler,distractor,3,3,door_wood_red,filler,distractor,4,1,box_cardboard_brown_original,filler,competitor,2,2
0896-6,1592936184526,25,clickedObj,,ball_metal_silver_original,filler_both,target,4,4,door_wood_yellow,filler,distractor,3,1,ruler_metal_silver_original,filler,competitor,2,2,door_wood_yellow,filler,distractor,1,3
0896-6,1592936206280,26,clickedObj,,boot_leather_green,high_difficulty,target,4,4,boot_rubber_brown,difficulty_distractor,distractor,3,2,boot_rubber_brown,difficulty_distractor,distractor,2,1,boot_leather_brown,difficulty_distractor,distractor,1,3
0896-6,1592936214099,27,clickedObj,,ball_plastic_blue_original,filler_none,target,3,4,door_wood_yellow,filler,distractor,2,2,door_wood_yellow,filler,distractor,1,3,bag_paper_brown_original,filler,competitor,4,1
