gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
5617-b,1592936835992,1,clickedObj,,vase_wood_brown_original,filler_material,target,1,4,ruler_wood_green,filler,competitor,4,3,box_cardboard_blue,filler,distractor,3,1,box_cardboard_blue,filler,distractor,2,2
5617-b,1592936844346,2,clickedObj,,ball_plastic_blue_original,filler_none,target,4,2,ruler_wood_green,filler,distractor,1,4,box_cardboard_brown_original,filler,competitor,3,3,ruler_wood_green,filler,distractor,2,1
5617-b,1592936854068,3,clickedObj,,ball_metal_silver_original,filler_both,target,3,1,box_wood_brown_original,filler,distractor,2,3,ruler_metal_silver_original,filler,competitor,4,2,box_wood_brown_original,filler,distractor,1,4
5617-b,1592936881944,4,clickedObj,,box_cardboard_green,filler_none,target,2,1,bag_paper_blue,filler,competitor,4,2,door_wood_yellow,filler,distractor,3,3,door_wood_yellow,filler,distractor,1,4
5617-b,1592936893255,5,clickedObj,,table_metal_silver_original,high_difficulty,target,4,1,table_wood_green,difficulty_distractor,distractor,1,2,table_wood_green,difficulty_distractor,distractor,3,4,table_metal_green,difficulty_distractor,distractor,2,3
5617-b,1592936929584,6,clickedObj,,bottle_glass_green,low_difficulty,target,1,1,bottle_plastic_green,difficulty_distractor,distractor,2,3,bottle_plastic_blue,difficulty_distractor,distractor,3,4,bottle_plastic_blue,difficulty_distractor,distractor,4,2
5617-b,1592936970507,7,clickedObj,,chair_metal_green,high_difficulty,target,4,2,chair_wood_purple,difficulty_distractor,distractor,1,4,chair_metal_purple,difficulty_distractor,distractor,2,1,chair_wood_purple,difficulty_distractor,distractor,3,3
5617-b,1592936980169,8,clickedObj,,plate_paper_blue,high_difficulty,target,1,4,plate_plastic_green,difficulty_distractor,distractor,3,3,plate_plastic_green,difficulty_distractor,distractor,2,1,plate_paper_green,difficulty_distractor,distractor,4,2
5617-b,1592937028434,9,clickedObj,,vase_wood_blue,filler_material,target,2,2,door_wood_yellow,filler,competitor,4,4,bag_plastic_white_original,filler,distractor,1,1,bag_plastic_white_original,filler,distractor,3,3
5617-b,1592937052838,10,clickedObj,,ruler_wood_blue,filler_material,target,4,1,bag_plastic_white_original,filler,distractor,1,4,bag_plastic_white_original,filler,distractor,3,2,box_wood_brown_original,filler,competitor,2,3
5617-b,1592937077688,11,clickedObj,,bowl_glass_blue,filler_both,target,2,4,door_wood_yellow,filler,distractor,3,3,vase_glass_blue,filler,competitor,1,1,door_wood_yellow,filler,distractor,4,2
5617-b,1592937103168,12,clickedObj,,plate_plastic_blue_original,low_difficulty,target,4,1,plate_paper_white_original,difficulty_distractor,distractor,2,2,plate_paper_blue,difficulty_distractor,distractor,1,4,plate_paper_white_original,difficulty_distractor,distractor,3,3
5617-b,1592937120514,13,clickedObj,,chair_metal_purple,high_difficulty,target,2,1,chair_plastic_green,difficulty_distractor,distractor,3,4,chair_metal_green,difficulty_distractor,distractor,1,2,chair_plastic_green,difficulty_distractor,distractor,4,3
5617-b,1592937142473,14,clickedObj,,bowl_metal_green,filler,competitor,2,1,door_steel_yellow,filler,distractor,4,2,ruler_metal_green,filler_both,target,3,4,door_steel_yellow,filler,distractor,1,3
