gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
8411-d,1592922758082,1,clickedObj,,ball_plastic_blue_original,filler_none,target,3,2,ruler_metal_silver_original,filler,competitor,1,4,bag_paper_brown_original,filler,distractor,2,3,bag_paper_brown_original,filler,distractor,4,1
8411-d,1592922765247,2,clickedObj,,ruler_metal_green,filler_both,target,3,1,bowl_metal_green,filler,competitor,4,2,vase_glass_clear_original,filler,distractor,1,3,vase_glass_clear_original,filler,distractor,2,4
8411-d,1592922776236,3,clickedObj,,pitcher_metal_blue,low_difficulty,target,3,4,pitcher_glass_clear_original,difficulty_distractor,distractor,4,3,pitcher_glass_clear_original,difficulty_distractor,distractor,2,1,pitcher_glass_blue,difficulty_distractor,distractor,1,2
8411-d,1592922784879,4,clickedObj,,box_wood_blue,filler_color,target,2,3,bag_paper_blue,filler,competitor,1,4,ball_plastic_green,filler,distractor,4,1,ball_plastic_green,filler,distractor,3,2
8411-d,1592922792180,5,clickedObj,,table_metal_blue,high_difficulty,target,2,2,table_metal_green,difficulty_distractor,distractor,3,4,table_wood_green,difficulty_distractor,distractor,1,1,table_wood_green,difficulty_distractor,distractor,4,3
8411-d,1592922799062,6,clickedObj,,chair_metal_green,high_difficulty,target,2,3,chair_metal_purple,difficulty_distractor,distractor,1,2,chair_wood_purple,difficulty_distractor,distractor,3,1,chair_wood_purple,difficulty_distractor,distractor,4,4
8411-d,1592922811512,7,clickedObj,,plate_paper_blue,low_difficulty,target,2,2,plate_plastic_blue_original,difficulty_distractor,distractor,1,3,plate_plastic_green,difficulty_distractor,distractor,3,1,plate_plastic_green,difficulty_distractor,distractor,4,4
8411-d,1592922820980,8,clickedObj,,bowl_glass_green,filler_material,target,4,4,vase_glass_clear_original,filler,competitor,2,1,ruler_wood_brown_original,filler,distractor,3,3,ruler_wood_brown_original,filler,distractor,1,2
8411-d,1592922829472,9,clickedObj,,vase_wood_brown_original,filler_material,target,4,1,ruler_metal_blue,filler,distractor,1,4,ruler_metal_blue,filler,distractor,3,3,door_wood_yellow,filler,competitor,2,2
8411-d,1592922840034,10,clickedObj,,bowl_glass_blue,filler_both,target,2,1,ruler_metal_silver_original,filler,distractor,1,4,ruler_metal_silver_original,filler,distractor,4,3,vase_glass_blue,filler,competitor,3,2
