gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
7475-6,1592936116578,1,clickedObj,,table_metal_silver_original,high_difficulty,target,3,3,table_wood_blue,difficulty_distractor,distractor,2,2,table_metal_blue,difficulty_distractor,distractor,1,1,table_wood_blue,difficulty_distractor,distractor,4,4
7475-6,1592936133367,2,clickedObj,,vase_wood_blue,filler_material,target,3,2,ball_plastic_green,filler,distractor,4,1,box_wood_brown_original,filler,competitor,2,3,ball_plastic_green,filler,distractor,1,4
7475-6,1592936206226,3,clickedObj,,bag_plastic_green,filler_color,target,1,4,vase_glass_blue,filler,distractor,4,2,vase_glass_blue,filler,distractor,3,1,bowl_metal_green,filler,competitor,2,3
7475-6,1592936253870,4,clickedObj,,bottle_glass_green,low_difficulty,target,3,2,bottle_plastic_green,difficulty_distractor,distractor,4,4,bottle_plastic_clear_original,difficulty_distractor,distractor,1,3,bottle_plastic_clear_original,difficulty_distractor,distractor,2,1
7475-6,1592936264948,5,clickedObj,,door_wood_brown_original,filler_color,target,3,2,vase_glass_clear_original,filler,distractor,4,4,bag_paper_brown_original,filler,competitor,1,1,vase_glass_clear_original,filler,distractor,2,3
7475-6,1592936276599,6,clickedObj,,ball_plastic_blue_original,filler_none,target,3,3,door_steel_silver_original,filler,distractor,2,4,bag_paper_brown_original,filler,competitor,1,2,door_steel_silver_original,filler,distractor,4,1
7475-6,1592936289126,7,clickedObj,,plate_paper_blue,low_difficulty,target,3,4,plate_plastic_blue_original,difficulty_distractor,distractor,2,2,plate_plastic_pink,difficulty_distractor,distractor,1,3,plate_plastic_pink,difficulty_distractor,distractor,4,1
7475-6,1592936304365,8,clickedObj,,bowl_glass_green,filler_material,target,3,2,bag_plastic_white_original,filler,distractor,1,3,vase_glass_clear_original,filler,competitor,2,4,bag_plastic_white_original,filler,distractor,4,1
7475-6,1592936313337,9,clickedObj,,chair_metal_green,high_difficulty,target,2,3,chair_wood_purple,difficulty_distractor,distractor,1,4,chair_metal_purple,difficulty_distractor,distractor,4,1,chair_wood_purple,difficulty_distractor,distractor,3,2
7475-6,1592936328026,10,clickedObj,,bowl_metal_blue,filler_both,target,3,3,ruler_metal_blue,filler,competitor,1,1,box_cardboard_brown_original,filler,distractor,4,4,box_cardboard_brown_original,filler,distractor,2,2
7475-6,1592936337844,11,clickedObj,,bowl_glass_blue,filler_both,target,4,1,vase_glass_blue,filler,competitor,1,3,door_wood_yellow,filler,distractor,3,2,door_wood_yellow,filler,distractor,2,4
7475-6,1592936345524,12,clickedObj,,vase_wood_brown_original,filler_material,target,1,1,box_cardboard_blue,filler,distractor,4,2,box_cardboard_blue,filler,distractor,3,3,door_wood_yellow,filler,competitor,2,4
7475-6,1592936356177,13,clickedObj,,bag_plastic_blue,filler_color,target,3,2,box_cardboard_brown_original,filler,distractor,2,1,box_cardboard_brown_original,filler,distractor,1,3,ruler_metal_blue,filler,competitor,4,4
7475-6,1592936371413,14,clickedObj,,box_wood_blue,filler_color,target,1,4,bag_paper_blue,filler,competitor,3,2,vase_glass_green,filler,distractor,2,1,vase_glass_green,filler,distractor,4,3
7475-6,1592936386400,15,clickedObj,,table_metal_green,high_difficulty,target,2,2,table_metal_blue,difficulty_distractor,distractor,1,3,table_wood_blue,difficulty_distractor,distractor,4,1,table_wood_blue,difficulty_distractor,distractor,3,4
7475-6,1592936395072,16,clickedObj,,plate_paper_blue,high_difficulty,target,1,3,plate_plastic_green,difficulty_distractor,distractor,4,1,plate_paper_green,difficulty_distractor,distractor,2,2,plate_plastic_green,difficulty_distractor,distractor,3,4
7475-6,1592936410087,17,clickedObj,,ruler_metal_green,filler_both,target,2,4,door_steel_yellow,filler,distractor,3,1,door_steel_yellow,filler,distractor,4,3,bowl_metal_green,filler,competitor,1,2
7475-6,1592936419117,18,clickedObj,,spoon_wood_green,high_difficulty,target,2,1,spoon_metal_blue,difficulty_distractor,distractor,3,4,spoon_metal_blue,difficulty_distractor,distractor,4,3,spoon_wood_blue,difficulty_distractor,distractor,1,2
7475-6,1592936435762,19,clickedObj,,pitcher_metal_blue,low_difficulty,target,3,4,pitcher_glass_clear_original,difficulty_distractor,distractor,1,1,pitcher_glass_blue,difficulty_distractor,distractor,4,2,pitcher_glass_clear_original,difficulty_distractor,distractor,2,3
7475-6,1592936451613,20,clickedObj,,ball_metal_silver_original,filler_both,target,1,3,door_steel_yellow,filler,distractor,4,1,bowl_metal_silver_original,filler,competitor,2,4,door_steel_yellow,filler,distractor,3,2
7475-6,1592936466996,21,clickedObj,,table_metal_blue,low_difficulty,target,1,1,table_wood_brown_original,difficulty_distractor,distractor,2,2,table_wood_blue,difficulty_distractor,distractor,3,4,table_wood_brown_original,difficulty_distractor,distractor,4,3
7475-6,1592936475549,22,clickedObj,,ruler_wood_blue,filler_material,target,3,3,door_steel_silver_original,filler,distractor,1,2,box_wood_brown_original,filler,competitor,2,1,door_steel_silver_original,filler,distractor,4,4
7475-6,1592936486156,23,clickedObj,,ball_metal_green,filler_none,target,3,4,bag_paper_blue,filler,distractor,4,2,bag_paper_blue,filler,distractor,1,3,door_steel_silver_original,filler,competitor,2,1
7475-6,1592936501569,24,clickedObj,,bottle_plastic_green,low_difficulty,target,2,4,bottle_glass_blue,difficulty_distractor,distractor,3,2,bottle_glass_blue,difficulty_distractor,distractor,1,3,bottle_glass_green,difficulty_distractor,distractor,4,1
7475-6,1592936509630,25,clickedObj,,box_cardboard_green,filler_none,target,2,4,vase_glass_blue,filler,distractor,3,1,door_wood_red,filler,competitor,4,2,vase_glass_blue,filler,distractor,1,3
7475-6,1592936518045,26,clickedObj,,table_metal_blue,high_difficulty,target,2,3,table_wood_green,difficulty_distractor,distractor,3,2,table_metal_green,difficulty_distractor,distractor,1,4,table_wood_green,difficulty_distractor,distractor,4,1
7475-6,1592936536490,27,clickedObj,,cup_plastic_green,low_difficulty,target,4,1,cup_metal_green,difficulty_distractor,distractor,2,3,cup_metal_blue,difficulty_distractor,distractor,1,2,cup_metal_blue,difficulty_distractor,distractor,3,4
7475-6,1592936546383,28,clickedObj,,plate_plastic_blue_original,low_difficulty,target,4,2,plate_paper_white_original,difficulty_distractor,distractor,1,4,plate_paper_blue,difficulty_distractor,distractor,3,3,plate_paper_white_original,difficulty_distractor,distractor,2,1
7475-6,1592936554492,29,clickedObj,,door_steel_red,filler_none,target,4,4,box_cardboard_brown_original,filler,distractor,1,1,vase_glass_green,filler,competitor,3,3,box_cardboard_brown_original,filler,distractor,2,2
