gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
8573-e,1592937808924,1,clickedObj,,bowl_metal_blue,filler_both,target,1,2,door_steel_silver_original,filler,distractor,3,3,ruler_metal_blue,filler,competitor,4,1,door_steel_silver_original,filler,distractor,2,4
8573-e,1592937820506,2,clickedObj,,spoon_wood_green,high_difficulty,target,4,1,spoon_plastic_blue,difficulty_distractor,distractor,1,3,spoon_wood_blue,difficulty_distractor,distractor,3,4,spoon_plastic_blue,difficulty_distractor,distractor,2,2
8573-e,1592937832901,3,clickedObj,,chair_metal_green,high_difficulty,target,3,1,chair_wood_purple,difficulty_distractor,distractor,4,3,chair_metal_purple,difficulty_distractor,distractor,2,2,chair_wood_purple,difficulty_distractor,distractor,1,4
8573-e,1592937839792,4,clickedObj,,ruler_metal_green,filler_both,target,1,3,box_cardboard_blue,filler,distractor,2,2,bowl_metal_green,filler,competitor,4,1,box_cardboard_blue,filler,distractor,3,4
8573-e,1592937845892,5,clickedObj,,bag_plastic_blue,filler_color,target,1,2,bowl_metal_green,filler,distractor,4,3,vase_glass_blue,filler,competitor,3,4,bowl_metal_green,filler,distractor,2,1
8573-e,1592937855079,6,clickedObj,,ball_metal_silver_original,filler_both,target,2,2,bag_paper_green,filler,distractor,4,1,ruler_metal_silver_original,filler,competitor,1,3,bag_paper_green,filler,distractor,3,4
8573-e,1592937864297,7,clickedObj,,table_metal_green,high_difficulty,target,2,4,table_wood_blue,difficulty_distractor,distractor,3,1,table_metal_blue,difficulty_distractor,distractor,4,2,table_wood_blue,difficulty_distractor,distractor,1,3
8573-e,1592937870076,8,clickedObj,,door_steel_red,filler_none,target,4,1,bag_plastic_white_original,filler,distractor,3,2,bag_plastic_white_original,filler,distractor,1,4,box_wood_green,filler,competitor,2,3
8573-e,1592937880793,9,clickedObj,,cup_plastic_green,low_difficulty,target,2,1,cup_metal_green,difficulty_distractor,distractor,1,3,cup_metal_blue,difficulty_distractor,distractor,4,2,cup_metal_blue,difficulty_distractor,distractor,3,4
8573-e,1592937891915,10,clickedObj,,bottle_glass_green,low_difficulty,target,1,3,bottle_plastic_clear_original,difficulty_distractor,distractor,4,4,bottle_plastic_clear_original,difficulty_distractor,distractor,2,2,bottle_plastic_green,difficulty_distractor,distractor,3,1
8573-e,1592937900393,11,clickedObj,,table_metal_blue,low_difficulty,target,3,3,table_wood_green,difficulty_distractor,distractor,4,1,table_wood_green,difficulty_distractor,distractor,2,2,table_wood_blue,difficulty_distractor,distractor,1,4
8573-e,1592937907193,12,clickedObj,,chair_metal_purple,high_difficulty,target,4,4,chair_metal_green,difficulty_distractor,distractor,2,2,chair_plastic_green,difficulty_distractor,distractor,3,3,chair_plastic_green,difficulty_distractor,distractor,1,1
8573-e,1592937919066,13,clickedObj,,plate_plastic_blue_original,difficulty_distractor,distractor,3,3,plate_plastic_pink,difficulty_distractor,distractor,4,2,plate_plastic_pink,difficulty_distractor,distractor,1,4,plate_paper_blue,low_difficulty,target,2,1
8573-e,1592937927557,14,clickedObj,,boot_leather_green,high_difficulty,target,2,3,boot_rubber_brown,difficulty_distractor,distractor,1,1,boot_leather_brown,difficulty_distractor,distractor,4,2,boot_rubber_brown,difficulty_distractor,distractor,3,4
8573-e,1592937934789,15,clickedObj,,box_wood_blue,filler_color,target,3,3,bag_paper_blue,filler,competitor,4,1,ball_plastic_red,filler,distractor,2,4,ball_plastic_red,filler,distractor,1,2
8573-e,1592937942582,16,clickedObj,,ball_plastic_blue_original,filler_none,target,3,1,box_wood_brown_original,filler,competitor,1,4,bowl_metal_green,filler,distractor,2,3,bowl_metal_green,filler,distractor,4,2
8573-e,1592937947913,17,clickedObj,,table_metal_blue,high_difficulty,target,2,4,table_wood_green,difficulty_distractor,distractor,4,2,table_metal_green,difficulty_distractor,distractor,1,1,table_wood_green,difficulty_distractor,distractor,3,3
8573-e,1592937957539,18,clickedObj,,table_metal_silver_original,high_difficulty,target,1,3,table_wood_blue,difficulty_distractor,distractor,2,4,table_wood_blue,difficulty_distractor,distractor,3,1,table_metal_blue,difficulty_distractor,distractor,4,2
8573-e,1592937966527,19,clickedObj,,bottle_plastic_green,low_difficulty,target,4,3,bottle_glass_blue,difficulty_distractor,distractor,2,4,bottle_glass_blue,difficulty_distractor,distractor,3,2,bottle_glass_green,difficulty_distractor,distractor,1,1
8573-e,1592937987531,20,clickedObj,,jacket_denim_purple,low_difficulty,target,1,2,jacket_leather_purple,difficulty_distractor,distractor,4,4,jacket_leather_green,difficulty_distractor,distractor,2,3,jacket_leather_green,difficulty_distractor,distractor,3,1
8573-e,1592937993155,21,clickedObj,,bowl_glass_green,filler_material,target,2,2,door_wood_yellow,filler,distractor,4,4,door_wood_yellow,filler,distractor,3,1,vase_glass_blue,filler,competitor,1,3
8573-e,1592937999878,22,clickedObj,,plate_paper_blue,high_difficulty,target,2,2,plate_plastic_green,difficulty_distractor,distractor,3,3,plate_paper_green,difficulty_distractor,distractor,4,1,plate_plastic_green,difficulty_distractor,distractor,1,4
8573-e,1592938005393,23,clickedObj,,vase_wood_blue,filler_material,target,4,3,ball_plastic_green,filler,distractor,2,1,ball_plastic_green,filler,distractor,3,4,door_wood_red,filler,competitor,1,2
8573-e,1592938011787,24,clickedObj,,bag_plastic_green,filler_color,target,1,4,bowl_metal_green,filler,competitor,3,3,box_wood_brown_original,filler,distractor,4,2,box_wood_brown_original,filler,distractor,2,1
8573-e,1592938016865,25,clickedObj,,vase_wood_brown_original,filler_material,target,2,1,door_wood_red,filler,competitor,4,2,bag_paper_blue,filler,distractor,3,4,bag_paper_blue,filler,distractor,1,3
8573-e,1592938021921,26,clickedObj,,box_cardboard_green,filler_none,target,3,4,door_steel_yellow,filler,distractor,1,1,door_steel_yellow,filler,distractor,4,2,ruler_metal_silver_original,filler,competitor,2,3
